Source,Production_Consumption,Continent,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Coal,Production,Asia & Oceania,        Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Malaysia,0,0,0,0,0,0,0.000470004,0.001909602,0.001953501,0.002381384,0.002436389,0.003948091,0.003893753,0.00434974,0.004805727,0.005261713,0.0057177,0.006173687,0.006914077,0.007313183,0.00782605,0.0119844,0.012285107,0.013876442,0.015586294,0.017296145,0.01977643,0.02359563,0.02752461,0.046927924,0.052612832,0.06400659,0.064754617,0.0635269,0.058155204,0.056171689,0.049586076,0.065606933,0.058228702,0.075927005,0.071639251,0.068462774
Coal,Production,Asia & Oceania,        Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Mongolia,0.129828467,0.105854053,0.132433121,0.1338527,0.133602919,0.160465986,0.173799201,0.191019221,0.211707845,0.197907229,0.176401282,0.173142282,0.153799535,0.138348295,0.127204206,0.12319317,0.125987883,0.121093644,0.124949748,0.122217785,0.127604708,0.126326087,0.13640738,0.139250621,0.166590835,0.184110322,0.197966958,0.226996408,0.247550688,0.361467412,0.626724275,0.826996087,0.760687521,0.759327601,0.614229367,0.5900949,0.895499435,1.231112894,1.312283075,1.438125159,1.12288031,1.32628864
Coal,Production,Asia & Oceania,        Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        Nepal,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,3.88E-05,4.26E-05,9.75E-05,9.77E-05,9.79E-05,0.00012693,0.000180227,0.000294916,0.000278532,0.000163842,0.000196611,0.000180227,0.000147458,0.000151702,0.000196005,0.000229379,0.00022684,0.000242798,0.000193334,0.000215617,0.000263459,0.000311301,0.000342707,0.000307727,0.000337532,0.000369678,0.000401824,0.000436879,0.000450043,0.000476017
Coal,Production,Asia & Oceania,        New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        New Zealand,0.047526397,0.048147397,0.048625459,0.053936873,0.055756446,0.053403936,0.055595048,0.048304636,0.054417642,0.061788777,0.058019499,0.06091644,0.06946776,0.078555284,0.072324828,0.087539983,0.089509224,0.084781942,0.073674403,0.085581476,0.085211434,0.096433983,0.110992662,0.126328462,0.127559018,0.129955962,0.140340499,0.116110879,0.119610934,0.113889958,0.131804884,0.121345376,0.119948625,0.11410654,0.097830985,0.080885182,0.068106518,0.069166516,0.076337589,0.072253998,0.066517833,0.068634623
Coal,Production,Asia & Oceania,        Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,Production,Asia & Oceania,        North Korea,0.795598133,0.828071266,0.870133146,0.879878638,0.902204678,0.712279795,0.707191981,0.702140508,0.846735111,0.654048683,0.871294288,0.913584258,0.77874804,0.711147182,0.666536473,0.621925764,0.551073462,0.540576824,0.488093637,0.550994057,0.590435852,0.606180808,0.585532813,0.605033304,0.640157599,0.706067422,0.713706298,0.626029133,0.658626598,0.489712782,0.49690884,0.545855212,0.558672877,0.613675039,0.615036002,0.660320456,0.76782853,0.521708054,0.476759426,0.532925007,0.501015534,0.56004731
